precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,accuracy,confusion_matrix,window_size,top_n_categorical,top_m_values,test_split_size,validation_split_size,type,hidden_size,n_heads,num_layers,dropout,seed,num_episodes,inner_epochs,batch_size,learning_rate,gamma,epsilon_min,target_update_freq,replay_buffer_size,r1_positive_fraud,r2_positive_normal,validation_freq,model_version
0.9808836023789295,0.9744671871702891,0.9776648671535937,0.39950372208436724,0.47214076246334313,0.4327956989247312,0.9570221000101843,[[9236  242]  [ 180  161]],18,10,10,0.2,0.2,lstm,64,4,1,0.1,10022,800,200,8,0.0001,0.95,0.22,40,80,4.0,1.0,10,True,10,100,fine_tuned
0.9808836023789295,0.9744671871702891,0.9776648671535937,0.39950372208436724,0.47214076246334313,0.4327956989247312,0.9570221000101843,[[9236  242]  [ 180  161]],18,10,10,0.2,0.2,lstm,64,4,1,0.1,10022,800,200,8,0.0001,0.95,0.22,40,80,4.0,1.0,10,True,10,100,fine_tuned
0.9771646051379639,0.9752057396075121,0.9761841896815757,0.3472222222222222,0.36656891495601174,0.3566333808844508,0.9540686424279459,[[9243  235]  [ 216  125]],18,10,10,0.2,0.2,lstm,64,4,1,0.1,10022,800,200,8,0.0001,0.95,0.22,40,80,4.0,1.0,10,True,1,100,fine_tuned
0.9751513885988724,0.9854399662376029,0.9802686817800168,0.42738589211618255,0.3020527859237537,0.3539518900343643,0.9617068947958041,[[9340  138]  [ 238  103]],18,10,10,0.2,0.2,lstm,64,4,1,0.1,10022,800,200,8,0.0001,0.95,0.22,40,80,4.0,1.0,10,True,0.1,100,fine_tuned
0.9775293586269196,0.9133783498628403,0.9443656594305662,0.1474558670820353,0.41642228739002934,0.21779141104294478,0.896119767797128,[[8657  821]  [ 199  142]],18,10,10,0.2,0.2,lstm,64,4,1,0.1,10022,800,200,8,0.001,0.95,0.22,40,80,4.0,1.0,10,final_epoch
0.9852148997134671,0.9069423929098966,0.9444597044443224,0.19378427787934185,0.6217008797653959,0.2954703832752613,0.897036358081271,[[8596  882]  [ 129  212]],18,10,10,0.2,0.2,lstm,64,4,1,0.1,10022,800,200,8,0.001,0.95,0.22,40,80,4.0,1.0,10,best_validation
0.9819587628865979,0.8441654357459379,0.9078633836378078,0.11609814482345901,0.5689149560117303,0.19284294234592445,0.834606375394643,[[8001 1477]  [ 147  194]],18,10,10,0.2,0.2,lstm,64,4,1,0.1,10022,800,200,8,0.001,0.95,0.22,40,80,4.0,1.0,10,final_epoch
0.9871274498434419,0.8980797636632201,0.9405005248328822,0.19230769230769232,0.6744868035190615,0.2992843201040989,0.8903146959975557,[[8512  966]  [ 111  230]],18,10,10,0.2,0.2,lstm,64,4,1,0.1,10022,800,200,8,0.001,0.95,0.22,40,80,4.0,1.0,10,best_validation
0.9830824874577062,0.9339392595876745,0.9578809753879384,0.24937027707808565,0.577259475218659,0.3482849604221636,0.9208756006406834,[[8426  596]  [ 145  198]],18,10,10,0.2,0.2,lstm,64,4,1,0.1,10022,800,200,8,0.001,0.95,0.22,40,80,4.0,1.0,10,0.99,25,5,"['bonifico.prodotto_importooperazione', 'distance_from_median', 'CountryCodeBIC_isIT', 'isWeekEnd', 'hour']",clustered_training_final
0.9850601238916555,0.8989137663489248,0.9400173862648508,0.19434628975265017,0.641399416909621,0.2983050847457627,0.8894821142552055,[[8110  912]  [ 123  220]],18,10,10,0.2,0.2,lstm,64,4,1,0.1,10022,800,200,8,0.001,0.95,0.22,40,80,4.0,1.0,10,0.99,25,5,"['bonifico.prodotto_importooperazione', 'distance_from_median', 'CountryCodeBIC_isIT', 'isWeekEnd', 'hour']",clustered_training_best
0.9813803376365442,0.8763023719796054,0.925869539758754,0.14744079449961803,0.5626822157434402,0.23365617433414043,0.8648158035237586,[[7906 1116]  [ 150  193]],18,10,10,0.2,0.2,lstm,64,4,1,0.1,10022,999999,200,8,0.001,0.95,0.22,40,80,4.0,1.0,10,0.99,25,5,"['bonifico.prodotto_importooperazione', 'distance_from_median', 'CountryCodeBIC_isIT', 'isWeekEnd', 'hour']",clustered_training_final
0.9824582482278025,0.9063400576368876,0.9428653790717786,0.1890595009596929,0.5743440233236151,0.28447653429602887,0.8941804591564335,[[8177  845]  [ 146  197]],18,10,10,0.2,0.2,lstm,64,4,1,0.1,10022,999999,200,8,0.001,0.95,0.22,40,80,4.0,1.0,10,0.99,25,5,"['bonifico.prodotto_importooperazione', 'distance_from_median', 'CountryCodeBIC_isIT', 'isWeekEnd', 'hour']",clustered_training_best
0.9673553719008264,0.9879721460223676,0.9775550683787452,0.17985611510791366,0.07331378299120235,0.10416666666666667,0.9562073530909462,[[9364  114]  [ 316   25]],18,10,10,0.2,0.2,transformer,64,4,1,0.1,10022,100,200,8,0.001,0.95,0.22,40,80,4.0,1.0,10,final_epoch
0.970335429769392,0.9766828444819582,0.9734987906194131,0.2078853046594982,0.17008797653958943,0.1870967741935484,0.9486709440879927,[[9257  221]  [ 283   58]],18,10,10,0.2,0.2,transformer,64,4,1,0.1,10022,100,200,8,0.001,0.95,0.22,40,80,4.0,1.0,10,best_validation
0.9706843940714909,0.9397552226208061,0.954969443550981,0.1119751166407465,0.21114369501466276,0.14634146341463414,0.9144515734799877,[[8907  571]  [ 269   72]],18,10,10,0.2,0.2,lstm,64,4,1,0.1,10022,100,200,8,0.001,0.95,0.22,40,80,4.0,1.0,10,final_epoch
0.9712291093716945,0.9687697826545685,0.9699978871751532,0.18904109589041096,0.20234604105571846,0.1954674220963173,0.9421529687340869,[[9182  296]  [ 272   69]],18,10,10,0.2,0.2,lstm,64,4,1,0.1,10022,100,200,8,0.001,0.95,0.22,40,80,4.0,1.0,10,best_validation
0.9656227685402428,0.9987339101076177,0.9818992790830351,0.25,0.011730205278592375,0.022408963585434174,0.9644566656482331,[[9466   12]  [ 337    4]],18,10,10,0.2,0.2,transformer,64,4,2,0.1,10022,999999,200,8,0.0001,0.95,0.22,40,80,4.0,1.0,10,final_epoch
0.9805857189865087,0.9432369698248576,0.9615488034417854,0.2336182336182336,0.4809384164222874,0.3144774688398849,0.9271819940930849,[[8940  538]  [ 177  164]],18,10,10,0.2,0.2,transformer,64,4,2,0.1,10022,999999,200,8,0.0001,0.95,0.22,40,80,4.0,1.0,10,best_validation
0.9657078513665677,0.995357670394598,0.9803086195251208,0.12,0.017595307917888565,0.030690537084398978,0.9614013647010897,[[9434   44]  [ 335    6]],18,10,10,0.2,0.2,transformer,64,4,2,0.01,10022,999999,200,8,0.0001,0.95,0.22,40,80,4.0,1.0,10,final_epoch
0.9802750225428314,0.9175986495041147,0.9479019073569482,0.17529039070749736,0.4868035190615836,0.2577639751552795,0.9026377431510337,[[8697  781]  [ 175  166]],18,10,10,0.2,0.2,transformer,64,4,2,0.01,10022,999999,200,8,0.0001,0.95,0.22,40,80,4.0,1.0,10,best_validation
0.9662220309810671,0.9476682844481958,0.9568552253116012,0.05162523900573614,0.07917888563049853,0.0625,0.9175068744271311,[[8982  496]  [ 314   27]],18,10,10,0.2,0.2,transformer,64,4,2,0.01,10022,999999,200,8,0.0001,0.95,0.22,40,80,4.0,1.0,10,final_epoch
0.9789310268352185,0.9314201308292889,0.9545847750865052,0.18851435705368288,0.44281524926686217,0.26444833625218916,0.9144515734799877,[[8828  650]  [ 190  151]],18,10,10,0.2,0.2,transformer,64,4,2,0.01,10022,999999,200,8,0.0001,0.95,0.22,40,80,4.0,1.0,10,best_validation
0.9711806631546328,0.9919814306815784,0.9814708492092489,0.4492753623188406,0.18181818181818182,0.2588726513569937,0.9638456054588044,[[9402   76]  [ 279   62]],18,10,10,0.2,0.2,lstm,64,4,2,0.01,10022,999999,200,8,0.001,0.0001,0.95,0.22,40,80,4.0,1.0,10,final_epoch
0.980976392390557,0.9031441232327495,0.9404526477697209,0.16010978956999086,0.5131964809384164,0.24407252440725244,0.8896017924432224,[[8560  918]  [ 166  175]],18,10,10,0.2,0.2,lstm,64,4,2,0.01,10022,999999,200,8,0.001,0.0001,0.95,0.22,40,80,4.0,1.0,10,best_validation
0.9816493719279082,0.9481958219033552,0.9646326410132561,0.2605421686746988,0.5073313782991202,0.34427860696517415,0.9328852225277523,[[8987  491]  [ 168  173]],18,10,10,0.2,0.2,lstm,64,4,2,0.01,10022,800,200,8,0.001,0.0001,0.95,0.22,40,80,4.0,1.0,10,final_epoch
0.9865658162113344,0.9220299641274531,0.9532068062827225,0.23100936524453694,0.6510263929618768,0.34101382488479265,0.9126183929117018,[[8739  739]  [ 119  222]],18,10,10,0.2,0.2,lstm,64,4,2,0.01,10022,800,200,8,0.001,0.0001,0.95,0.22,40,80,4.0,1.0,10,best_validation
0.9777478084962913,0.9179151719772104,0.9468872442316064,0.15526601520086863,0.41935483870967744,0.2266244057052298,0.9006008758529381,[[8700  778]  [ 198  143]],18,10,10,0.2,0.2,lstm,64,4,2,0.01,10022,800,200,8,0.001,0.0001,0.95,0.22,40,80,4.0,1.0,10,final_epoch
0.9831619392021698,0.9179151719772104,0.9494188901620559,0.1979381443298969,0.5630498533724341,0.2929061784897025,0.9055912007332723,[[8700  778]  [ 149  192]],18,10,10,0.2,0.2,lstm,64,4,2,0.01,10022,800,200,8,0.001,0.0001,0.95,0.22,40,80,4.0,1.0,10,best_validation
0.9777478084962913,0.9179151719772104,0.9468872442316064,0.15526601520086863,0.41935483870967744,0.2266244057052298,0.9006008758529381,[[8700  778]  [ 198  143]],18,10,10,0.2,0.2,lstm,64,4,2,0.01,10022,800,200,8,0.001,0.0001,0.95,0.22,40,80,4.0,1.0,10,final_epoch
0.9831619392021698,0.9179151719772104,0.9494188901620559,0.1979381443298969,0.5630498533724341,0.2929061784897025,0.9055912007332723,[[8700  778]  [ 149  192]],18,10,10,0.2,0.2,lstm,64,4,2,0.01,10022,800,200,8,0.001,0.0001,0.95,0.22,40,80,4.0,1.0,10,best_validation
0.9816493719279082,0.9481958219033552,0.9646326410132561,0.2605421686746988,0.5073313782991202,0.34427860696517415,0.9328852225277523,[[8987  491]  [ 168  173]],18,10,10,0.2,0.2,lstm,64,4,2,0.01,10022,800,200,8,0.001,0.0001,0.95,0.22,40,80,4.0,1.0,10,final_epoch
0.9865658162113344,0.9220299641274531,0.9532068062827225,0.23100936524453694,0.6510263929618768,0.34101382488479265,0.9126183929117018,[[8739  739]  [ 119  222]],18,10,10,0.2,0.2,lstm,64,4,2,0.01,10022,800,200,8,0.001,0.0001,0.95,0.22,40,80,4.0,1.0,10,best_validation
